https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%BB%D0%BE%D1%82%D0%B0%D0%BD	Галотан	APRD00598	http://www.drugbank.ca/drugs/APRD00598	Фторотан, Наркотан, Флуотан
https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%82%D0%BE%D0%BA%D1%81%D0%B8%D1%84%D0%BB%D1%83%D1%80%D0%B0%D0%BD	Метоксифлуран	APRD00744	http://www.drugbank.ca/drugs/APRD00744
https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8%D1%85%D0%BB%D0%BE%D1%80%D1%8D%D1%82%D0%B8%D0%BB%D0%B5%D0%BD	Трихлорэтилен	13323	https://www.drugbank.ca/r/DB13323	Трихлорэтилен для наркоза
https://ru.wikipedia.org/wiki/%D0%A5%D0%BB%D0%BE%D1%80%D1%8D%D1%82%D0%B0%D0%BD	Хлорэтан	13259	https://www.drugbank.ca/r/DB13259	хлористый этил, этилхлорид
https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BA%D1%81%D0%BE%D0%B1%D0%B0%D1%80%D0%B1%D0%B8%D1%82%D0%B0%D0%BB	Гексобарбитал	01355	https://www.drugbank.ca/r/DB01355	Гексенал
https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D1%82%D0%B0%D0%BC%D0%B8%D0%BD	Кетамин	APRD00493	http://www.drugbank.ca/drugs/APRD00493	Калипсол, Кеталар, Кетамин, Кетанест, Кетасет
https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%B4%D0%B0%D0%B7%D0%BE%D0%BB%D0%B0%D0%BC	Мидазолам	APRD00680	http://www.drugbank.ca/drugs/APRD00680	Флормидал, Дормикум, Фулсед
https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D0%BC%D0%B8%D0%B4%D0%B0%D1%82	Этомидат	00292	https://www.drugbank.ca/r/DB00292
https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8%D0%B0%D0%B7%D0%BE%D0%BB%D0%B0%D0%BC	Триазолам	DB00897	http://www.drugbank.ca/drugs/DB00897	Halcion (Хальцион), Сомнетон, Clorazolam, Insomnium, Novidorm, Nuctan, Somneton, Songar
https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%B1%D0%B8%D1%82%D0%B0%D0%BB	Барбитал	DB01483	http://www.drugbank.ca/drugs/DB01483	Веронал, Aethinal, Aethybarbital, Athylbarbital, Alvenol, Barbaethyl, Barbital, Barbitone, Barbitural, Diemal, Dormanol, Dormonal, Hypnofer, Hypnogene, Malonal, Malonurea, Sedeval, Sedival, Sonal, Uronal, Veronal, Vesperal и др.
https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%BE%D0%B1%D0%B0%D1%80%D0%B1%D0%B8%D1%82%D0%B0%D0%BB	Амобарбитал	01351	https://www.drugbank.ca/r/DB01351	Амитал-натрий, Барбамил, Эстимал, Амитал
https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D1%82%D0%BE%D0%B1%D0%B0%D1%80%D0%B1%D0%B8%D1%82%D0%B0%D0%BB	Пентобарбитал	DB00312	http://www.drugbank.ca/drugs/DB00312	Нембутал, Этаминал-натрий, Пентал,также Embutal, Isobarb, Mebubarbital, Narcoren, Nembutal, Pentone, Prodormol, Somnopentyl, Sopental,[2] Morbital и другие.
https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%82%D0%B0%D0%BA%D0%B2%D0%B0%D0%BB%D0%BE%D0%BD	Метаквалон	04833	https://www.drugbank.ca/r/DB04833	Дормиген, Дормотил, Кваалюд, Мотолон, Ортонал, Aqualon, Bendor, Citexal, Dormigen, Dormilone, Dormised, Dormotil, Dorsedine, Holodorm, Ipnolan, Ipnosed, Mandrax, Mekvalon, Melsomin, Mequalon, Mezulon, Motolon, Mynal, Nobadorm, Noctilene, Normorest, Optinoxan, Orthonal, Quaalude, Revonal, Ronqualone, Somberol, Somnidon, Somnomed, Somnotropon, Tolinon, Toquilone, Toraflon, Torinal и др.
https://ru.wikipedia.org/wiki/%D0%A4%D0%B5%D0%BD%D0%BE%D0%B1%D0%B0%D1%80%D0%B1%D0%B8%D1%82%D0%B0%D0%BB	Фенобарбитал	APRD00184	http://www.drugbank.ca/drugs/APRD00184	«Люминал»
https://ru.wikipedia.org/wiki/%D0%A4%D0%B5%D0%BD%D0%B8%D1%82%D0%BE%D0%B8%D0%BD	Фенитоин	DB00252	http://www.drugbank.ca/drugs/DB00252	Дифенин, Дифенилгидантоин, Дилантин
https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BC%D0%B8%D0%B4%D0%BE%D0%BD	Примидон	APRD00549	http://www.drugbank.ca/drugs/APRD00549	Гексамидин
https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D1%81%D1%83%D0%BA%D1%81%D0%B8%D0%BC%D0%B8%D0%B4	Этосуксимид	APRD00318	http://www.drugbank.ca/drugs/APRD00318
https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B8%D0%BE%D0%BD	Триметадион	APRD00315	http://www.drugbank.ca/drugs/APRD00315	Триметин
https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B0%D0%BC%D0%B0%D0%B7%D0%B5%D0%BF%D0%B8%D0%BD	Карбамазепин	APRD00337	http://www.drugbank.ca/drugs/APRD00337	«Зептол», «Карбалепсин ретард», «Тегретол», «Финлепсин»
https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%BE%D0%BD%D0%B0%D0%B7%D0%B5%D0%BF%D0%B0%D0%BC	Клоназепам	APRD00054	http://www.drugbank.ca/drugs/APRD00054	Клонекс, Антелепсин, Клонопин, Икторил, Икторивил, Раватрил, Равотрил, Риватрил, Ривотрил
https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%BB%D1%8C%D0%BF%D1%80%D0%BE%D0%B5%D0%B2%D0%B0%D1%8F_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%82%D0%B0	Вальпроевая кислота	DB00313	http://www.drugbank.ca/drugs/DB00313	.mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}}Апилепсин, Депакин, Орфирил, Конвулекс, Энкорат
https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BA%D0%BB%D0%BE%D1%84%D0%B5%D0%BD	Баклофен	APRD00551	http://www.drugbank.ca/drugs/APRD00551	Баклосан®, Баклофен®
https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BB%D0%BF%D0%B5%D1%80%D0%B8%D0%B7%D0%BE%D0%BD	Толперизон	06264	https://www.drugbank.ca/r/DB06264	Мидокалм, Толизор, Biocalm, Muscodol, Mydeton, Mydocalm, Myolax, Myoxan, Viveo и другие
https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%B7%D0%B0%D0%BD%D0%B8%D0%B4%D0%B8%D0%BD	Тизанидин	APRD00128	http://www.drugbank.ca/drugs/APRD00128	«Занафлекс», «Тизанидин-Тева», «Сирдалуд».
https://ru.wikipedia.org/wiki/%D0%A5%D0%BB%D0%BE%D1%80%D0%BF%D1%80%D0%BE%D0%BC%D0%B0%D0%B7%D0%B8%D0%BD	Хлорпромазин	00477	https://www.drugbank.ca/r/DB00477	Аминазин, Аминазин-Н.С., Аминазин-Ферейн, Ларгактил[2], Торазин, Хлорпромазина г/х, Ампли(а)ктил, Контомин, Плегомазин, Пропафенин, Фенактил, Хлоразин
